DESCRIPCION ;CODIGO_BARRA;FABRICANTE;UNIDAD;PRECIO_NORMAL;SUCURSAL
ﾂTOPEX LOCION 250 ML SECRETO/ABUELITA;7.86211E+12;LA ESPAﾑOLA;UND;1.74;MILAGRO
ACEITE ALDALUZ EXT.VIRGEN  1LT  X12U;8.43654E+12;LA ESPAﾑOLA;UND;12.65;MILAGRO
ACEITE ALDALUZ EXT.VIRGEN  250ML  X24U;8.43654E+12;LA ESPAﾑOLA;UND;4.42;MILAGRO
ACEITE ALDALUZ EXT.VIRGEN  500ML  X12U;8.43654E+12;LA ESPAﾑOLA;UND;7.67;MILAGRO
ACEITE ALDALUZ EXT.VIRGEN  750ML  X12U;8.43654E+12;LA ESPAﾑOLA;UND;10.32;MILAGRO
ACEITUNAS RELLENAS 180GR FDA MAESTRANZA  X30U;8.41087E+12;LA ESPAﾑOLA;UND;0.9;MILAGRO
ACEITUNAS RELLENAS 230GR FRASCO MAESTRANZA  X12U;8.41087E+12;LA ESPAﾑOLA;UND;2.2;MILAGRO
ACEITUNAS S/P 180GR FDA MAESTRANZA  X30U;8.41087E+12;LA ESPAﾑOLA;UND;1.07;MILAGRO
ACEITUNAS S/P 230GR FRASCO MAESTRANZA  X12U;8.41087E+12;LA ESPAﾑOLA;UND;1.97;MILAGRO
ACEITUNAS S/P 340GR FRASCO MAESTRANZA  X12U;8.41087E+12;LA ESPAﾑOLA;UND;2.1;MILAGRO
ALBACORA  ALIMESA 227GR;7.86212E+12;LA ESPAﾑOLA;UND;0.91;MILAGRO
ALBACORA LOMO ALIMESA LBS;2170;LA ESPAﾑOLA;LIB;3.7;MILAGRO
ALBACORA TROZO ALIMESA 2LB;7.86212E+12;LA ESPAﾑOLA;UND;5.6;MILAGRO
ACEIT. OLIVA CONDIMENSA 250 ML X24U;7.86213E+12;LA ESPAﾑOLA;UND;4.7;MILAGRO
AJI PARA SECO 100GR CONDIMENSA;7.8621E+12;LA ESPAﾑOLA;UND;0.6;MILAGRO
AJI PARA SECO/ENCEB 60G CONDIM FCO;7.86213E+12;LA ESPAﾑOLA;UND;0.88;MILAGRO
AJI SECO ENCEBOLLADO 150GR CONDIMENSA;7.8621E+12;LA ESPAﾑOLA;UND;1.2;MILAGRO
AJO EN POLVO 70G CONDIMENSA FCO;7.86213E+12;LA ESPAﾑOLA;UND;0.92;MILAGRO
AJO PASTA FDA 200GR. CONDIMENSA;7.8621E+12;LA ESPAﾑOLA;UND;0.6;MILAGRO
ALBAHACA 12G CONDIMENSA FCO;7.86213E+12;LA ESPAﾑOLA;UND;0.88;MILAGRO
ALBAHACA 30 GR CONDIMENSA X15U;7.8621E+12;LA ESPAﾑOLA;UND;1.8;MILAGRO
ALIﾃ前 200GR CONDIMENSA FUNDA X25U;7.861E+12;LA ESPAﾑOLA;UND;0.44;MILAGRO
ALIﾃ前 CONDIMENSA 310G BOT;7.8621E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
ALIﾃ前 CONDIMENSA DOYPACK 200G;7.8621E+12;LA ESPAﾑOLA;UND;0.51;MILAGRO
ALIﾃ前 TIRA 30gr CONDIMENSA 16TX15U;7.8621E+12;LA ESPAﾑOLA;TIR;1.04;MILAGRO
ALIﾃ前 TIRA CONDIMENSA 16TX30UX30G;7.8621E+12;LA ESPAﾑOLA;TIR;2.16;MILAGRO
ANIS ESPAﾃ前L TARJ. X20U CONDIMENSA;7.8621E+12;LA ESPAﾑOLA;TIR;4.35;MILAGRO
APANADURA 200GR CONDIMENSA X25U;7.861E+12;LA ESPAﾑOLA;UND;0.5;MILAGRO
AGUA 1 LT PURE NATURALLY X12;7.868E+12;LA ESPAﾑOLA;UND;0.38;MILAGRO
ANTIOQUEﾃ前 750ML;7.70205E+12;LA ESPAﾑOLA;UND;16.38;MILAGRO
ALKA SELTZER BOOST x10U;7.8611E+12;LA ESPAﾑOLA;DSP;3.09;MILAGRO
ACEITE MONARCA 950ML FDA  X12U;7.86213E+12;LA ESPAﾑOLA;UND;1.45;MILAGRO
ACEITE SUPER 950CC ROJO FUNDA X12U;7.86115E+12;LA ESPAﾑOLA;UND;1.68;MILAGRO
ACEITE SUPREMO  950 CC FUNDA X12U;7.86115E+12;LA ESPAﾑOLA;UND;2.47;MILAGRO
AIRE ACONDIC.12K MABE;20349;LA ESPAﾑOLA;UND;318.3;MILAGRO
ACEITE ALMENDRAS 30 ml COSMETICO;7.8621E+12;LA ESPAﾑOLA;UND;0.72;MILAGRO
ACEITE ALMENDRAS 30 ml LAXANTE;7.8621E+12;LA ESPAﾑOLA;UND;0.57;MILAGRO
ACEITE DE ARGAN 30 ml;7.8621E+12;LA ESPAﾑOLA;UND;1.49;MILAGRO
ACEITE DE CANIME 30ml;7.8621E+12;LA ESPAﾑOLA;UND;0.91;MILAGRO
ACEITE DE COCO 120 ml;7.8621E+12;LA ESPAﾑOLA;UND;1.37;MILAGRO
ACEITE DE COCO 30 ml;7.8621E+12;LA ESPAﾑOLA;UND;0.62;MILAGRO
ACEITE DE RICINO 30ML SIMONS X12U;7.86214E+12;LA ESPAﾑOLA;UND;0.72;MILAGRO
ACEITE DE ROMERO 30ml;7.8621E+12;LA ESPAﾑOLA;UND;0.6;MILAGRO
ACEITE/AGUACATE 120 ml;7.8621E+12;LA ESPAﾑOLA;UND;1.38;MILAGRO
ACEITE/AGUACATE 30 ml;7.8621E+12;LA ESPAﾑOLA;UND;0.6;MILAGRO
ACEITE/AGUACATE GF SPRAY 120 ml;7.8621E+12;LA ESPAﾑOLA;UND;1.75;MILAGRO
AGUA GOULARD X100ML X6U;7.8621E+12;LA ESPAﾑOLA;UND;0.55;MILAGRO
AGUA OXIGENADA X6U SIMONS;7.8621E+12;LA ESPAﾑOLA;UND;0.52;MILAGRO
ALCOHOL 1/4 SPRAY SIMONS;7.8621E+12;LA ESPAﾑOLA;UND;1.52;MILAGRO
ALCOHOL 1/5 SPRAY;09AM-Und.;LA ESPAﾑOLA;UND;2.35;MILAGRO
ALCOHOL 100CC SIMONS X6U;7.8621E+12;LA ESPAﾑOLA;UND;0.62;MILAGRO
ALCOHOL 1LT SIMONS;7.8621E+12;LA ESPAﾑOLA;UND;2.9;MILAGRO
ALCOHOL 250ML SIMONS;7.8621E+12;LA ESPAﾑOLA;UND;1.15;MILAGRO
ALCOHOL 500ML SIMONS;7.8621E+12;LA ESPAﾑOLA;UND;1.5;MILAGRO
ALCOHOL GALON  GF;201770;LA ESPAﾑOLA;UND;14.25;MILAGRO
ALCOHOL GEL 100ML DE ONE  X60U;7.8621E+12;LA ESPAﾑOLA;UND;0.99;MILAGRO
ALCOHOL GEL 250ML DE ONE   X24U;7.8621E+12;LA ESPAﾑOLA;UND;1.58;MILAGRO
ANIS ESPANOL GP TX15U;11032020506;LA ESPAﾑOLA;TIR;0.9;MILAGRO
ANIS ESTRELLADO GP  TX15U;11032020517;LA ESPAﾑOLA;TIR;0.9;MILAGRO
AJI PICA RICO 100ML  X24U;7.86102E+12;LA ESPAﾑOLA;UND;0.87;MILAGRO
AROS DE CEBOLLA OHANA 18TX6U;6.58325E+11;LA ESPAﾑOLA;TIR;1.15;MILAGRO
ALMENDRAS BONANZA 20T X12U;7.86105E+12;LA ESPAﾑOLA;TIR;2.45;MILAGRO
AMOXICILINA NIFA 500 MG    3TX10U;09AMX-Tir.;LA ESPAﾑOLA;TIR;1.5;MILAGRO
AGUA IMPERIAL 550ML LIMON X12U;7.86103E+12;LA ESPAﾑOLA;UND;0.66;MILAGRO
AGUA IMPERIAL 550ML MANDARINA X12U;7.86103E+12;LA ESPAﾑOLA;UND;0.66;MILAGRO
AGUA IMPERIAL 550ML TORONJA X12U;7.86103E+12;LA ESPAﾑOLA;UND;0.66;MILAGRO
AGUA LAS ROCAS    X  24U;10AR-Und.;LA ESPAﾑOLA;UND;0.21;MILAGRO
AIRE ACONDIC. 12K TCL ALTA EFIC.;5AC0603;LA ESPAﾑOLA;UND;268.1;MILAGRO
AIRE ACONDIC. 24K TCL ALTA EFIC.;14AAT-Und.;LA ESPAﾑOLA;UND;539.06;MILAGRO
AIRE ACONDIC. 36K TCL ALTA EFIC.;5AC0609;LA ESPAﾑOLA;UND;648.93;MILAGRO
AIRE ACONDIC.12K TCL 220V/60HZ;5AC06C1;LA ESPAﾑOLA;UND;318.51;MILAGRO
AIRE ACONDIC.12K TCL INVERTER;14ACO-Und.;LA ESPAﾑOLA;UND;316.25;MILAGRO
AIRE ACONDIC.18K CHIGO 220V/60HZ;5AC06C2;LA ESPAﾑOLA;UND;429.2;MILAGRO
AIRE ACONDIC.18K TCL INVERTER;5AC0601;LA ESPAﾑOLA;UND;453.84;MILAGRO
AIRE ACONDIC.24K CHIGO 220V/60HZ;5AC06C3;LA ESPAﾑOLA;UND;536.29;MILAGRO
AIRE ACONDIC.24K TCL INVERTER;5AC0602;LA ESPAﾑOLA;UND;562.68;MILAGRO
ARMADOR P/ROPA X6U;14ARR-Paq.;LA ESPAﾑOLA;PAQ;2.7;MILAGRO
ABACO PLASTICO 100 MULLOS;6.9714E+12;LA ESPAﾑOLA;UND;3.39;MILAGRO
ACEITE 3/1 CHICO;79567520306;LA ESPAﾑOLA;UND;0.92;MILAGRO
ACUARELA ALEX 12 COLORES;5.78236E+11;LA ESPAﾑOLA;UND;0.84;MILAGRO
ACUARELA LANCER 12 COLORES;4.71286E+12;LA ESPAﾑOLA;UND;0.92;MILAGRO
ACUARELA T/PALETA UTILESA 12 COLORES;7.86212E+12;LA ESPAﾑOLA;UND;0.92;MILAGRO
ADHESIVO  LARGO COLORES SURTIDOS;7.86211E+12;LA ESPAﾑOLA;UND;0.42;MILAGRO
ADHESIVO ANCHO T-11 AMARILLO;7.86211E+12;LA ESPAﾑOLA;UND;0.36;MILAGRO
ADHESIVO ANCHO T-11 ROSADO;7.86211E+12;LA ESPAﾑOLA;UND;0.36;MILAGRO
ADHESIVO CIRCULO ROSADO;7.86211E+12;LA ESPAﾑOLA;UND;0.36;MILAGRO
ADHESIVO CIRCULO VERDE;7.86211E+12;LA ESPAﾑOLA;UND;0.36;MILAGRO
ADHESIVO CORTO AMARILLO;14ACA;LA ESPAﾑOLA;UND;0.42;MILAGRO
ADHESIVO CORTO COLORES SURTIDOS;7.86211E+12;LA ESPAﾑOLA;UND;0.42;MILAGRO
ADHESIVO CORTO NARANJA;5831;LA ESPAﾑOLA;UND;0.42;MILAGRO
ADHESIVO CORTO ROSADO;14ACR;LA ESPAﾑOLA;UND;0.42;MILAGRO
ADHESIVO LARGO AMARILLO;7.86211E+12;LA ESPAﾑOLA;UND;0.42;MILAGRO
ADHESIVO LARGO BLANCO;2202U;LA ESPAﾑOLA;UND;0.42;MILAGRO
ADHESIVO LARGO NARANJA;7.86211E+12;LA ESPAﾑOLA;UND;0.42;MILAGRO
ADHESIVO LARGO ROJO;2203-U;LA ESPAﾑOLA;UND;0.42;MILAGRO
ADHESIVO LARGO VERDE;7.86211E+12;LA ESPAﾑOLA;UND;0.42;MILAGRO
ALMOHADILLA DACTILAR NEGRA LANCER;4.89462E+12;LA ESPAﾑOLA;UND;0.58;MILAGRO
ANILLO DE REFUERZO P/HOJAS;1149001;LA ESPAﾑOLA;UND;0.46;MILAGRO
ARCHIVADOR T/MALETIN LANCER A4;6.92058E+12;LA ESPAﾑOLA;UND;3.13;MILAGRO
ARCHIVADOR UNICO MEMO. NEGRO;7.86115E+12;LA ESPAﾑOLA;UND;2.26;MILAGRO
ARCHIVADOR UNICO TELEGR. NEGRO;7.86115E+12;LA ESPAﾑOLA;UND;2.26;MILAGRO
AGUARDIENTE SOCIO 375ML;7.86213E+12;LA ESPAﾑOLA;UND;2.88;MILAGRO
ALCOHOL ANTISEPTICO 500ML 70%;7.86213E+12;LA ESPAﾑOLA;UND;2.57;MILAGRO
ACEITE 1LT SAO BOTELLA X12U;7.7731E+12;LA ESPAﾑOLA;UND;2.29;MILAGRO
ACEITE DORADO 1LT FUNDA X 12;7.86214E+12;LA ESPAﾑOLA;UND;2.38;MILAGRO
ACEITE DORADO 300 ML FUNDA X 30;7.86214E+12;LA ESPAﾑOLA;UND;0.65;MILAGRO
ACEITE DORADO 375 ML FUNDA X 24;7.86214E+12;LA ESPAﾑOLA;UND;1.05;MILAGRO
ACEITE DORADO 900 ML FUNDA X 12;7.86214E+12;LA ESPAﾑOLA;UND;1.89;MILAGRO
ACEITE EL DORADO 5LT X 4;7.86214E+12;LA ESPAﾑOLA;UND;11.25;MILAGRO
ACEITE EL DORADO BOTELLA  900 ML X 15;7.86214E+12;LA ESPAﾑOLA;UND;2.34;MILAGRO
AFEITADORA SKY DOBLE HOJA X5U;5.99765E+12;LA ESPAﾑOLA;UND;1.8;MILAGRO
ARMADORES COLORES X6PZ.;6.93409E+12;LA ESPAﾑOLA;PAQ;2.26;MILAGRO
ALGODON 15GR FARMACOTON;7.86108E+12;LA ESPAﾑOLA;UND;0.32;MILAGRO
ALGODON 5 GR X120U FARMACOTON;7.86108E+12;LA ESPAﾑOLA;UND;0.12;MILAGRO
ALGODON 50GR FARMACOTON;7.86108E+12;LA ESPAﾑOLA;UND;0.93;MILAGRO
ALGODON 8GR FARMACOTON;7.86108E+12;LA ESPAﾑOLA;UND;0.2;MILAGRO
ARROZ @ CONEJO NATURAL;555555555;LA ESPAﾑOLA;UND;11.5;MILAGRO
ARROZ @ CONEJO VIEJO;7.86211E+12;LA ESPAﾑOLA;UND;14.5;MILAGRO
ARROZ @ LORO;7.86211E+12;LA ESPAﾑOLA;UND;13;MILAGRO
ARROZ @ RINDE QUE RINDE ENVEJ;153151;LA ESPAﾑOLA;UND;12.25;MILAGRO
ARROZ @ SUPER VIEJO;7.86211E+12;LA ESPAﾑOLA;UND;14;MILAGRO
3 - CORONAS 3KL BALDE X8U;7.861E+12;LA ESPAﾑOLA;UND;7.48;MILAGRO
3 CORONAS 454GR TARRINA X24U;7.861E+12;LA ESPAﾑOLA;UND;1.17;MILAGRO
3-CORONAS 15KL BLOQUE;7.861E+12;LA ESPAﾑOLA;BLQ;35.4;MILAGRO
3-CORONAS 3KL BLOQUE X8;7.861E+12;LA ESPAﾑOLA;UND;5.9;MILAGRO
3-CORONAS 454 GR FUNDA  X28U;7.861E+12;LA ESPAﾑOLA;UND;0.94;MILAGRO
3-CORONAS 50 KL BLOQUE;7.861E+12;LA ESPAﾑOLA;UND;77.9;MILAGRO
"ACEITE 1LT ""GIRASOLI"" X15U(IND ALES)";7.861E+12;LA ESPAﾑOLA;UND;2.69;MILAGRO
ACEITE ALESOL DOYPACK 380ML X15U;7.861E+12;LA ESPAﾑOLA;UND;0.99;MILAGRO
ACEITE DOS CORONAS 900 BOT. X 15U;7.861E+12;LA ESPAﾑOLA;UND;1.95;MILAGRO
ACEITE DOS CORONAS FDA 1LT X 12 UN;7.861E+12;LA ESPAﾑOLA;UND;1.93;MILAGRO
ACEITE LA REINA 1LTBOTELLA X 15U;7.861E+12;LA ESPAﾑOLA;UND;1.86;MILAGRO
ACEITE LA REINA 500 ML BOTELLA X 30U;7.861E+12;LA ESPAﾑOLA;UND;1.09;MILAGRO
ALESOL 1.8 LT BOTELLA X 6U;7.861E+12;LA ESPAﾑOLA;UND;3.78;MILAGRO
ALESOL 100 ML ACEITE  X24U;7.861E+12;LA ESPAﾑOLA;UND;0.25;MILAGRO
ALESOL 100ML ACHIOTE X24U;7.861E+12;LA ESPAﾑOLA;UND;0.4;MILAGRO
ALESOL 175 ML ACEITE  X16U;7.861E+12;LA ESPAﾑOLA;UND;0.4;MILAGRO
ALESOL 195 ML ACEITE  X16U;7.861E+12;LA ESPAﾑOLA;UND;0.62;MILAGRO
ALESOL 1LT FUNDA X12U;7.861E+12;LA ESPAﾑOLA;UND;1.93;MILAGRO
ALESOL 200ML ACEITE  X30U;7.861E+12;LA ESPAﾑOLA;UND;0.55;MILAGRO
ALESOL 200ML ACHIO-BOTELLA  X30U;7.861E+12;LA ESPAﾑOLA;UND;0.79;MILAGRO
ALESOL 390ML ACHIOTE  X30U;7.861E+12;LA ESPAﾑOLA;UND;1.72;MILAGRO
ALESOL 535ML FUNDA  X14U;7.861E+12;LA ESPAﾑOLA;UND;1.08;MILAGRO
ALESOL 760cc BOTELLA X15U;7.861E+12;LA ESPAﾑOLA;UND;1.35;MILAGRO
ALESOL 900 BOTELLA X 15U;7.861E+12;LA ESPAﾑOLA;UND;1.79;MILAGRO
ALESOL 900ML ACHIOTE  X15U;7.861E+12;LA ESPAﾑOLA;UND;2.85;MILAGRO
"ALESOL 900ML FUNDA ""C"" X12U";7.861E+12;LA ESPAﾑOLA;UND;1.38;MILAGRO
ALESOL ACHIOTE 500ML;7.861E+12;LA ESPAﾑOLA;UND;2.19;MILAGRO
ALESOL BOT. 390 ML X 30;7.861E+12;LA ESPAﾑOLA;UND;1.41;MILAGRO
ALESOL BOT. 500 ML X 30;7.861E+12;LA ESPAﾑOLA;UND;1.09;MILAGRO
ALESOL FDA 265ML ACEITE  X24U;7.861E+12;LA ESPAﾑOLA;UND;0.35;MILAGRO
ALESOL FUNDA 900ML;7.861E+12;LA ESPAﾑOLA;UND;1.49;MILAGRO
ALESOL FUNDA 937ML ﾂｨSﾂｨ;7.861E+12;LA ESPAﾑOLA;UND;1.85;MILAGRO
ALESOL GIRASOL 900ML X15U;7.861E+12;LA ESPAﾑOLA;UND;1.86;MILAGRO
ARROZ @ DON GRANO ENVEJECIDO;45534862;LA ESPAﾑOLA;UND;14.5;MILAGRO
ARROZ @ OLIMPO ENVEJECIDO;5455216;LA ESPAﾑOLA;UND;13.75;MILAGRO
ARROZ @ OSITO ENVEJECIDO;9848115;LA ESPAﾑOLA;UND;14.25;MILAGRO
ARROZ @ RUBI ENVEJECIDO;2515632056;LA ESPAﾑOLA;UND;13.5;MILAGRO
ACEITE OLIVA BORGES EXTRA VIRGEN 250ML;8.41018E+12;LA ESPAﾑOLA;UND;3.07;MILAGRO
AMARULA 750ccx12u;07AM-Und.;LA ESPAﾑOLA;UND;12.32;MILAGRO
ABEJALIN JRB. 120ML;09ABJ-Und.;LA ESPAﾑOLA;UND;5.5;MILAGRO
ALIﾃ前 ESPE /M.L BOTELLA  320GR X60U;7.86214E+12;LA ESPAﾑOLA;UND;0.83;MILAGRO
ALIﾃ前 ESPE /M.L CHICO 250GR X100U;7.861E+12;LA ESPAﾑOLA;UND;0.68;MILAGRO
ALIﾃ前 ESPE /M.L GDE 500GR X70U;7.861E+12;LA ESPAﾑOLA;UND;1.16;MILAGRO
ALIﾃ前 ML 1.200 GR       X24U;7.861E+12;LA ESPAﾑOLA;UND;2.52;MILAGRO
ACHIOTE 80GR MI BANQUETE;7.73644E+12;LA ESPAﾑOLA;UND;0.67;MILAGRO
AMARILLO AL HUEVO 23GR MI BANQUETE;78613508;LA ESPAﾑOLA;UND;0.67;MILAGRO
ANIS ESPAﾃ前L 35GR MI BANQUETE;78613539;LA ESPAﾑOLA;UND;0.67;MILAGRO
ANIS ESPAﾃ前L GRAND 70GR MI BANQUETE;7.861E+12;LA ESPAﾑOLA;UND;1.03;MILAGRO
ANIS ESTRELLADO 15GR MI BANQUETE;78613546;LA ESPAﾑOLA;UND;0.67;MILAGRO
ANIS ESTRELLADO GRAND 30Gr MI BANQUETE;7.861E+12;LA ESPAﾑOLA;UND;1.03;MILAGRO
AGUA GALON  4 LT SANAGUA x 12U;7.868E+12;LA ESPAﾑOLA;UND;0.77;MILAGRO
ACEIT RICA PALMA  500ML BOT X30U;7.86214E+12;LA ESPAﾑOLA;UND;0.92;MILAGRO
ACEIT RICA PALMA  900ML BOT X15U;7.868E+12;LA ESPAﾑOLA;UND;1.78;MILAGRO
ACEITE DOﾃ羨 PATTY 900ML FDA  X12U;7.86214E+12;LA ESPAﾑOLA;UND;1.62;MILAGRO
ACEITE RICA PALMA 5 LT;7.86214E+12;LA ESPAﾑOLA;UND;8.75;MILAGRO
ACHIOTE RICA PALMA BOT 200ML;7.86214E+12;LA ESPAﾑOLA;UND;0.68;MILAGRO
ACHIOTE RICA PALMA BOT 500ML;7.86214E+12;LA ESPAﾑOLA;UND;1.76;MILAGRO
ACEITE OLIVA EX.VIRGEN CONSUL;8.41027E+12;LA ESPAﾑOLA;UND;3.54;MILAGRO
AJI SUPER 100GR  X48U;7.86212E+12;LA ESPAﾑOLA;UND;0.55;MILAGRO
AJI SUPER 1K X30U;7.86212E+12;LA ESPAﾑOLA;UND;2.23;MILAGRO
AJI SUPER 300GR X24U;7.86212E+12;LA ESPAﾑOLA;UND;0.9;MILAGRO
ALINO CASERITO PET 300GR SUPER;7.86212E+12;LA ESPAﾑOLA;UND;0.73;MILAGRO
ALIﾃ前 200GR DPK X24U SUPER;7.86212E+12;LA ESPAﾑOLA;UND;0.45;MILAGRO
ALIﾃ前 CASERI 500GR PET X24U SUPER;7.86114E+12;LA ESPAﾑOLA;UND;0.95;MILAGRO
***AZUCAR N/C;01ANC-Saco;LA ESPAﾑOLA;SAC;95;MILAGRO
ACHIOTE LBS;1001;LA ESPAﾑOLA;UND;2.25;MILAGRO
AJI PERUANO LBS;1002;LA ESPAﾑOLA;LIB;0.5;MILAGRO
AJO MALLA PEQUEﾃ前  X22LB;1055;LA ESPAﾑOLA;LIB;1.47;MILAGRO
AJO MALLITAS 250GR     X40U;6.93055E+12;LA ESPAﾑOLA;UND;0.53;MILAGRO
AJONJOLI  LIBRA x100;1080;LA ESPAﾑOLA;LIB;1.95;MILAGRO
ALMENDRA LBSx22LB;1042;LA ESPAﾑOLA;LIB;4.2;MILAGRO
ALMIDON LBS;1004;LA ESPAﾑOLA;LIB;1.1;MILAGRO
ALPISTE     X100 LB  C/I;1058;LA ESPAﾑOLA;LIB;0.86;MILAGRO
ANIS ESPAﾃ前L 35 GR;91303137;LA ESPAﾑOLA;UND;9.49;MILAGRO
ANIS ESPAﾃ前L 75 GR;91303136;LA ESPAﾑOLA;UND;9.49;MILAGRO
ANIS ESPAﾃ前L LBS  55LB;1006;LA ESPAﾑOLA;LIB;2.7;MILAGRO
ANIS ESTRELLADO LIBRAS X22;1007;LA ESPAﾑOLA;LIB;4.1;MILAGRO
ARANDANOS   X25LB     S/I;1095;LA ESPAﾑOLA;LIB;3.6;MILAGRO
ARANDANOS LIBRAS X25;1090;LA ESPAﾑOLA;LIB;3.4;MILAGRO
AC. CLANS NUTRITIVO  1.000 ML;7.86211E+12;LA ESPAﾑOLA;UND;1.95;MILAGRO
ACEITE DE ARGAN CLANS 60ML X24U;7.86211E+12;LA ESPAﾑOLA;UND;2.36;MILAGRO
AGUA DE ROSAS CLANS 250ML  X12U;7.86211E+12;LA ESPAﾑOLA;UND;1.8;MILAGRO
AGUA MICELAR CLANS 400ML;7.86211E+12;LA ESPAﾑOLA;UND;2;MILAGRO
ALCOHOL LIFARLIT  C/T 500 CC;7.86212E+12;LA ESPAﾑOLA;UND;1.69;MILAGRO
ALCOHOL LIFARLIT  GALON;7.86212E+12;LA ESPAﾑOLA;UND;8.15;MILAGRO
ALCOHOL LIFARLIT  PACK 250 + 100 GRATIS;7.86212E+12;LA ESPAﾑOLA;UND;1.12;MILAGRO
ALCOHOL LIFARLIT  SPRAY 250 CC;7.86212E+12;LA ESPAﾑOLA;UND;1.19;MILAGRO
ACEITE AGUACATE 130ML PARACELSO X6U;7.86211E+12;LA ESPAﾑOLA;UND;1.71;MILAGRO
ACEITE AGUACATE 30ML PARACELSO X12U;7.86211E+12;LA ESPAﾑOLA;UND;0.66;MILAGRO
ACEITE AGUACATE 60ML PARACELSO X12U;7.86211E+12;LA ESPAﾑOLA;UND;0.94;MILAGRO
ACEITE ALMENDRAS 130ML PARACELSO X6U;7.86211E+12;LA ESPAﾑOLA;UND;1.95;MILAGRO
ACEITE ALMENDRAS 30ML PARACELSO X12U;7.86211E+12;LA ESPAﾑOLA;UND;0.63;MILAGRO
ACEITE ALMENDRAS 60ML PARACELSO X12U;7.86211E+12;LA ESPAﾑOLA;UND;1;MILAGRO
ACEITE COCO 130ML PARACELSO X6U;7.86211E+12;LA ESPAﾑOLA;UND;1.39;MILAGRO
ACEITE COCO 30ML PARACELSO X12U;7.86211E+12;LA ESPAﾑOLA;UND;0.66;SAMBORONDON
ACEITE COCO PARACELSO  60 ML X12U;7.86211E+12;LA ESPAﾑOLA;UND;0.93;MILAGRO
ALCOHOL GEL  PARACELSO ST  4LT X4U;7.86211E+12;LA ESPAﾑOLA;UND;12.1;MILAGRO
ALCOHOL GEL 1LT PARACELSO;7.86211E+12;LA ESPAﾑOLA;UND;3.99;MILAGRO
ALCOHOL PARACELSO   20 LT LIQUIDO;001PARACELSO-CAJ;LA ESPAﾑOLA;UND;39.2;MILAGRO
ALCOHOL PARACELSO 500 CC X24U;7.86211E+12;LA ESPAﾑOLA;UND;1.94;MILAGRO
ALCOHOL PARACELSO NIﾃ前S  250 ML X24U;7.86211E+12;LA ESPAﾑOLA;UND;2.42;MILAGRO
ALCOHOL PARACELSO SPRAY 1LT    X12U;7.86211E+12;LA ESPAﾑOLA;UND;3.84;MILAGRO
ALCOHOL PARACELSO SPRAY ST  120 CC X24U;7.86211E+12;LA ESPAﾑOLA;UND;1.04;MILAGRO
ALCOHOL PARACELSO SPRAY ST  250 CC X24U;7.86211E+12;LA ESPAﾑOLA;UND;1.7;MILAGRO
ALCOHOL PARACELSO SPRAY ST  500 CC X24U;7.86211E+12;LA ESPAﾑOLA;UND;2.57;MILAGRO
ALCOHOL PARACELSO ST  4LT X4U;7.86211E+12;LA ESPAﾑOLA;UND;8.4;MILAGRO
AFFIRMER SPLASH REESTRUCT.250 ML;1.78611E+13;LA ESPAﾑOLA;UND;6.93;MILAGRO
AMBROISIE KIT ALISADO 1 2 3 4;7.86108E+12;LA ESPAﾑOLA;UND;80.09;MILAGRO
AMBROISIE REP.ACOND 250ML;7.86108E+12;LA ESPAﾑOLA;UND;8.47;MILAGRO
AMBROISIE REPOLARIZANTE AC. 500ML;7.86108E+12;LA ESPAﾑOLA;UND;16.53;MILAGRO
AMBROISIE SHAMPOO 250ML;7.86108E+12;LA ESPAﾑOLA;UND;7.19;MILAGRO
AGUA 1LT ALL NATURAL  x9U;7.86108E+12;LA ESPAﾑOLA;UND;0.46;MILAGRO
AGUA 4LT ALL NATURAL;7.86108E+12;LA ESPAﾑOLA;UND;1.03;MILAGRO
AGUA 600ML ALL NATURAL  x15U;7.86108E+12;LA ESPAﾑOLA;UND;0.31;MILAGRO
AGUA 6LT ALL NATURAL  X4U;7.86108E+12;LA ESPAﾑOLA;UND;1.41;MILAGRO
ALIﾃ前 KATTY CH.250 GR   X112U;7.861E+12;LA ESPAﾑOLA;UND;0.64;MILAGRO
ALIﾃ前 KATTY GDE 500GR    X60U;7.861E+12;LA ESPAﾑOLA;UND;1.13;MILAGRO
>PROMO DET LAVATODO 80GR LIMON x120U;91306431-U;LA ESPAﾑOLA;UND;0.47;MILAGRO
A/OLIVA 200ML CARBONELL LATA X24;8.41001E+12;LA ESPAﾑOLA;UND;2.52;MILAGRO
ALCOHOL 500 ML JOLLY/ANTIB.;7.86105E+12;LA ESPAﾑOLA;UND;1.81;MILAGRO
ALCOHOL GEL JOLLY  60ML    X48U;7.86105E+12;LA ESPAﾑOLA;UND;0.64;MILAGRO
AMB. SUTTON LAVANDA 90GR   X72U;7.86107E+12;LA ESPAﾑOLA;UND;0.66;MILAGRO
AMB. SUTTON MANZANA 90GR   X72U;7.86107E+12;LA ESPAﾑOLA;UND;0.66;MILAGRO
AMBIENTAL SUTTON 90GR STRAWBERRY X72U;7.86107E+12;LA ESPAﾑOLA;UND;0.66;MILAGRO
AC. TIO ALOE VERA 415ML;7.79814E+12;LA ESPAﾑOLA;UND;7.91;MILAGRO
