DESCRIPCION ;CODIGO_BARRA;FABRICANTE;UNIDAD;PRECIO_NORMAL;SUCURSAL
AFEITA RAZZUMAX 3H AZUL PAQX5U;7.36372E+11;LA ESPAﾑOLA;PAQ;2.25;MILAGRO
AFEITADORA  RAZZURA 3H BLISTER + 10 C;6.9709E+12;LA ESPAﾑOLA;PAQ;4.24;MILAGRO
AFEITADORA RASTORMAX 3H    30PL;6.9709E+12;LA ESPAﾑOLA;M/P;7.98;MILAGRO
AFEITADORA RAZZUMAX  3 AZUL 30PL;6.9709E+12;LA ESPAﾑOLA;M/P;5.08;MILAGRO
AFEITADORA RAZZURAX AMARILLA 36 PL;6.9709E+12;LA ESPAﾑOLA;M/P;3.21;MILAGRO
AFEITADORA RAZZURAX AMARILLA PAQ.X5;7.36372E+11;LA ESPAﾑOLA;PAQ;1.39;MILAGRO
AGUA 6 LT VIVANT X4U;7.94166E+11;LA ESPAﾑOLA;UND;1.4;MILAGRO
AGUA 600ML VIVANTx20U;78603363;LA ESPAﾑOLA;UND;0.23;MILAGRO
APANADURA (GRILE) 500GR;7.86101E+12;LA ESPAﾑOLA;UND;1.74;MILAGRO
APANADURA BIMBO 250GR MEDIANA;7.86101E+12;LA ESPAﾑOLA;UND;1.16;MILAGRO
APANADURA DORADA 150GR SUPAN PEQ;7.86101E+12;LA ESPAﾑOLA;UND;0.97;MILAGRO
ACEITU. 250 GR C/PEPA DIMCOFRUT;7.86211E+12;LA ESPAﾑOLA;UND;1.44;MILAGRO
ACEITU. 250 GR SIN PEPA DIMCOFRUT;7.86211E+12;LA ESPAﾑOLA;UND;1.75;MILAGRO
ALMENDRA 100 GR DIMCOFRUT X24U;7.86211E+12;LA ESPAﾑOLA;UND;2.25;MILAGRO
ALMENDRA DEL SUR 20 GR DISPLAY X10U;7.86212E+12;LA ESPAﾑOLA;UND;0.78;MILAGRO
ALMENDRA DEL SUR 200 GR;7.861E+12;LA ESPAﾑOLA;UND;2.93;MILAGRO
ALMENDRA DEL SUR 80GR DISPLAY 10U;7.86212E+12;LA ESPAﾑOLA;UND;1.33;MILAGRO
ARANDANOS POMO 130GR;7.86212E+12;LA ESPAﾑOLA;UND;2.77;MILAGRO
ACOND.SHIZEN 250M PROTE/QUERATINA SIN SAL;7.86211E+12;LA ESPAﾑOLA;UND;3.62;MILAGRO
ARCH.-FOLDER AMARILLO ARTESCO;7.75008E+12;LA ESPAﾑOLA;UND;2.16;MILAGRO
ARCH.-FOLDER AZUL ARTESCO;7.75008E+12;LA ESPAﾑOLA;UND;2.16;MILAGRO
ARCH.-FOLDER CELESTE BENE;7.86115E+12;LA ESPAﾑOLA;UND;2.16;MILAGRO
ARCH.-FOLDER FUCSIA ARTESCO;7.75008E+12;LA ESPAﾑOLA;UND;2.16;MILAGRO
ARCH.-FOLDER LILA ARTESCO;7.75008E+11;LA ESPAﾑOLA;UND;2.16;MILAGRO
ARCH.-FOLDER NARANJA  BENE;7.86115E+12;LA ESPAﾑOLA;UND;2.16;MILAGRO
ARCH.-FOLDER NARANJA ARTESCO;7.75008E+12;LA ESPAﾑOLA;UND;2.16;MILAGRO
ARCH.-FOLDER NEGRO ARTESCO;7.75008E+12;LA ESPAﾑOLA;UND;2.15;MILAGRO
ARCH.-FOLDER ROJO  BENE;7.86115E+12;LA ESPAﾑOLA;UND;2.16;MILAGRO
ARCH.-FOLDER ROJO ARTESCO;7.75008E+12;LA ESPAﾑOLA;UND;2.16;MILAGRO
ARCH.-FOLDER VERDE CLARO;7.75008E+12;LA ESPAﾑOLA;UND;2.16;MILAGRO
ARCH.-FOLDER VERDE OSCURO BENE;7.86115E+12;LA ESPAﾑOLA;UND;2.16;MILAGRO
ARENASTICA NORMA ANIMALES;7.70211E+12;LA ESPAﾑOLA;UND;3.39;MILAGRO
ARENASTICA NORMA HELADA DIVERSION;7.70211E+12;LA ESPAﾑOLA;UND;14.99;MILAGRO
ARENASTICA TORRE/CASTILLO NORMA;7.70211E+12;LA ESPAﾑOLA;UND;23.92;MILAGRO
AJI CRIOLLO ELITE 300GR;7.86211E+12;LA ESPAﾑOLA;UND;2.29;MILAGRO
ACEITE ACHIOT 290GR SAZON BOT X48U z;7.86102E+12;LA ESPAﾑOLA;UND;1.52;MILAGRO
ACEITE ACHIOTE TIRA  20UX20T;7.86102E+12;LA ESPAﾑOLA;TIR;3.77;MILAGRO
AJI P/SECO 50GR  PERUANO;7.86102E+12;LA ESPAﾑOLA;UND;0.4;MILAGRO
